1429461057  |  2:anmani  |  Add Task  |  'task 32','Linguistic','CCM UI','Team1','5','2015-04-19','2015-04-28','rawat','','','','','','Pending'  |

1429461223  |  2:rawat  |  Update Task  |  status='Pending',start_date='2015-04-19',completion_date='2015-04-30',lang='...',link='...',bugs='...',notes='...',efforts='30' where task_name='New Task UI'  |

1429461620  |  1:mdutt  |  Add Project  |  'Check Log','2015-04-19','2015-04-30','...'  |

1429461630  |  1:mdutt  |  File Upload  |  file='UIissues.xls' where p_name='Check Log'  |

1429462060  |  1:mdutt  |  Add Team  |  'Team1','Check Log','anmani'  |

1429462076  |  1:mdutt  |  Add Team  |  'Delete Team','Check Log','rawat'  |

1429462084  |  1:mdutt  |  Delete Team  |  Deletion Team id : 9  |

1429462101  |  1:mdutt  |  Add Task  |  'task 3','Functional','Check Log','Team1','8','2015-04-19','2015-04-21','rawat','','','','','','Pending'  |

1429462766  |  1:mdutt  |  Update Task  |  status='',start_date='1970-01-01',completion_date='1970-01-01',lang='',link='',bugs='',notes='jhl',efforts='' where task_name='Task 3'  |

1429463144  |  1:mdutt  |  Delete Task  |  Task Id : Array  |

1429463185  |  1:mdutt  |  Delete Task  |  Task Id : 1  |

1429463252  |  1:mdutt  |  Add Task  |  'task 3','Linguistic','Check Log','Team1','8','2015-04-19','2015-04-29','rawat','','','','','','Pending'  |

1429463731  |  1:mdutt  |  Delete Task  |  Task Id : 57  |

1429463743  |  1:mdutt  |  Delete Task  |  Task Id : 44,45,48  |

1429463791  |  1:mdutt  |  Add Task  |  'task 3','Functional','Check Log','Team1','8','2015-04-01','2015-04-30','rawat','','','','','','Pending'  |

1429463828  |  1:mdutt  |  Update Task  |  status='Pending',start_date='2015-04-01',completion_date='2015-04-30',lang='...',link='...',bugs='...',notes='...',efforts='30' where task_name='task 3' and p_name = 'Check Log'  |

1429500587  |  2:anmani  |  Add Task  |  'New Task','Functional','CCM E2E','Team 1','7','2015-04-20','2015-04-30','anmani','','','','','','Pending'  |

1429500604  |  2:anmani  |  Update Task  |  status='Pending',start_date='2015-04-20',completion_date='2015-04-30',lang='',link='',bugs='',notes='',efforts='30' where task_name='New Task' and p_name = 'CCM E2E'  |

1429500667  |  2:anmani  |  Delete Task  |  Task Id : 51  |

1429500685  |  2:anmani  |  Delete Task  |  Task Id : 59,50  |

1429507359  |  1:mdutt  |  Add Project  |  'CCM UI','2015-04-20','2015-05-27','...'  |

1429507764  |  1:mdutt  |  Add Team  |  'Team 1','CCM UI','anmani'  |

1429507788  |  1:mdutt  |  Add Task  |  'Task 1','Linguistic','CCM UI','Team 1','9','2015-04-20','2015-04-30','anmani','','','','','','Pending'  |

1429507799  |  1:mdutt  |  Update Task  |  status='Pending',start_date='2015-04-20',completion_date='2015-04-30',lang='',link='',bugs='',notes='',efforts='30' where task_name='Task 1' and p_name = 'CCM UI'  |

1429507816  |  1:mdutt  |  Add Project  |  'CCM E2E','2015-04-20','2015-04-30','....'  |

1429507840  |  1:mdutt  |  Add Team  |  'Team 1','CCM E2E','anmani'  |

1429507857  |  1:mdutt  |  Add Task  |  'Task 1','Linguistic','CCM E2E','Team 1','10','2015-04-20','2015-04-30','anmani','','','','','','Pending'  |

1429507873  |  1:mdutt  |  Update Task  |  status='Pending',start_date='2015-04-20',completion_date='2015-04-30',lang='',link='',bugs='',notes='',efforts='40' where task_name='Task 1' and p_name = 'CCM E2E'  |

